"dt","code","m30","m30_rank","N","name","OIGR","OIGR_rank","PBR","PBR_rank","PER","PER_rank","ROA","ROA_rank","ROE","ROE_rank","RR","RR_rank","sector","sector_pbr","sector_per","total_rank"
"20230701","039560","1.7053070814776223","4.0","438","다산네트웍스","'-203.05","394.0","0.55","77.5","3.04","24.0","30.08","5.0","70.57","3.0","2017.1","162.0","통신장비","1.3213333333333332","30.012666666666668","669.5"
"20230701","111770","1.447080830965612","17.0","105","영원무역","85.99","95.0","0.94","194.0","4.02","44.0","18.44","25.0","26.8","28.0","12069.7","12.0","""섬유,의류,신발,호화품""","1.2738888888888888","11.764444444444443","415.0"
"20230701","001390","1.3221139460897733","33.0","303","KG케미칼","11.8","240.0","0.73","139.5","1.95","5.0","16.06","33.0","47.97","8.0","1062.8","267.0","철강","0.765","17.0585","725.5"
"20230701","353200","1.279417743964161","40.0","169","대덕전자","220.87","48.0","1.96","341.0","10.46","198.0","17.25","31.0","23.94","44.0","3215.6","92.0","전자장비와기기","3.6957142857142857","65.26464285714286","794.0"
"20230701","008260","1.2586409734012332","46.0","578","NI스틸","117.09","72.0","1.11","233.0","4.17","47.5","13.21","54.0","29.57","23.0","1227.2","238.0","철강","0.765","17.0585","713.5"
"20230701","004430","1.2542424199278432","49.0","352","송원산업","75.11","106.0","0.71","132.0","4.9","62.0","11.31","77.0","21.53","53.0","5604.5","40.0","화학","2.787142857142857","46.34314285714286","519.0"
"20230701","036890","1.2483099284848902","55.0","283","진성티이씨","162.2","58.0","1.21","250.5","5.82","75.0","11.9","68.0","24.04","42.0","1870.6","170.0","기계","1.3675","20.435","718.5"
"20230701","001120","1.2040311218591337","78.0","176","LX인터내셔널","47.14","146.0","0.55","77.5","2.87","18.5","10.77","88.0","25.53","32.0","1066.5","266.0","무역회사와판매업체","0.77","5.13","706.0"
"20230701","079960","1.2038392462663494","79.0","572","동양이엔피","87.29","94.0","0.55","77.5","6.13","87.0","6.18","187.0","8.48","240.5","7049.5","27.0","전기제품","2.8455555555555554","30.00111111111111","792.0"
"20230701","194370","1.1908762802585457","91.0","634","제이에스코퍼레이션","33.63","180.0","0.71","132.0","3.65","35.0","11.89","69.0","28.26","25.0","19595.8","7.0","""섬유,의류,신발,호화품""","1.2738888888888888","11.764444444444443","539.0"
"20230701","297890","1.1794712015017528","98.0","263","HB솔루션","3962.06","4.0","2.12","355.0","6.99","114.0","23.34","8.0","35.32","15.0","1864.9","171.0","디스플레이장비및부품","1.71","13.812307692307693","765.0"
"20230701","086280","1.1782691845044047","99.0","46","현대글로비스","59.69","132.0","1.06","223.5","6.29","93.5","9.16","114.0","18.78","72.0","36441.8","4.0","항공화물운송과물류","0.8033333333333333","26.646666666666672","738.0"
"20230701","104830","1.1504618011550463","123.0","185","원익머트리얼즈","75.8","105.0","0.89","180.0","7.61","131.0","11.04","82.0","13.78","134.5","6919.2","30.0","화학","2.787142857142857","46.34314285714286","785.5"
"20230701","090470","1.145174463904258","127.0","592","제이스텍","2625.97","5.0","0.97","201.0","5.4","70.0","15.85","34.0","20.2","60.0","1964.9","164.0","디스플레이장비및부품","1.71","13.812307692307693","661.0"
"20230701","306200","1.1410059824011687","133.0","368","세아제강","63.07","123.0","0.51","59.0","2.58","10.0","11.83","70.5","21.12","58.0","5763.2","37.0","철강","0.765","17.0585","490.5"
"20230701","007340","1.140765810682834","134.0","235","DN오토모티브","370.22","34.0","0.82","162.5","4.04","45.0","6.09","191.0","22.81","49.0","23085.5","6.0","자동차부품","0.8922727272727272","22.8225","621.5"
"20230701","040610","1.1236270162287567","150.0","1196","SG&G","451.57","24.0","0.21","6.0","1.49","3.0","11.21","81.0","14.16","128.0","1702.9","179.0","운송인프라","0.21","1.49","571.0"
"20230701","111110","1.1231327365187342","152.0","915","호전실업","96.83","86.0","0.5","55.5","2.83","15.5","8.65","124.5","21.24","57.0","3026.2","99.0","""섬유,의류,신발,호화품""","1.2738888888888888","11.764444444444443","589.5"
"20230701","000670","1.0900921481487607","205.0","215","영풍","357.14","35.0","0.25","10.0","3.37","30.0","7.3","152.0","9.96","208.0","42518.4","3.0","핸드셋","1.6264285714285713","16.02","643.0"
"20230701","045100","1.077295588679256","229.0","290","한양이엔지","36.61","171.0","0.58","89.5","3.83","40.0","10.29","94.0","15.76","104.5","5197.6","49.0","건설","0.8253333333333334","27.31066666666667","777.0"